name,path,label,fold,is_ext
22q11DS_late188_22q11DS2y.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/22q11DS_late188_22q11DS2y.png,22q11DS2y,5,0
WS_late15_WSolderadult.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/WS_late15_WSolderadult.png,WSolderadult,5,0
22q11DS_late47_22q11DSyoungadult.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/22q11DS_late47_22q11DSyoungadult.png,22q11DSyoungadult,5,0
WS_late29_WSadolescence.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/WS_late29_WSadolescence.png,WSadolescence,5,0
WS_early167_WSyoungchild.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/WS_early167_WSyoungchild.png,WSyoungchild,5,0
Controls_early202_Controlsyoungchild.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early202_Controlsyoungchild.png,Controlsyoungchild,5,0
Controls_early64_Controls2y.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early64_Controls2y.png,Controls2y,5,0
WS_early6_WS2y.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/WS_early6_WS2y.png,WS2y,5,0
22q11DS_inter114_22q11DSadolescence.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/22q11DS_inter114_22q11DSadolescence.png,22q11DSadolescence,5,0
Controls_late245_Controlsyoungadult.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_late245_Controlsyoungadult.png,Controlsyoungadult,5,0
Controls_early282_Controlsadolescence.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early282_Controlsadolescence.png,Controlsadolescence,5,0
WS_late61_WSolderadult.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/WS_late61_WSolderadult.png,WSolderadult,5,0
Controls_early171_Controlsyoungchild.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early171_Controlsyoungchild.png,Controlsyoungchild,5,0
Controls_early158_Controls2y.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early158_Controls2y.png,Controls2y,5,0
Controls_early94_Controlsyoungchild.png,/data/duongdb/WS22qOther_08102021/Align512BlankBackgroundCenter/Controls_early94_Controlsyoungchild.png,Controlsyoungchild,5,0
